order_id,payment_sequential,payment_type,payment_installments,payment_value
42fdf880ba16b47b59251dd489d4441a,1,credit_card,2,128.45
d88e0d5fa41661ce03cf6cf336527646,1,credit_card,8,188.73
d0a945f85ba1074b60aac97ade7e240e,1,credit_card,2,541.0
5d9c5817e278892b7498d90bfa28ade8,1,credit_card,2,290.16
81cedc4d2132eb6f512354166e51b187,1,credit_card,1,30.28
d3e774a185c0b1b2286ffd6c70abe2e6,1,credit_card,8,117.74
c10d412026c4077b8e83acf0fea04eee,1,credit_card,1,266.16
afef48d3c8a0b1b7c9b7f8f922fb5674,1,credit_card,5,153.41
aa964845f1de8125410aea8b73e9e1ec,1,credit_card,2,27.35
c108072ab31ec90a754129c171577f5f,1,credit_card,4,210.82
55e2d723733c45033e71cb4d44690234,1,boleto,1,89.63
947e9c6bfd83a06953c420ef92d3da6e,1,voucher,1,69.46
60e43c5f5ba559d9dd19357ed72cb2f2,1,credit_card,2,78.3
fee72a68ce935ebf2939fe72f27d3d9b,1,credit_card,1,48.68
f090de1b2ed9f4e251662cb31e3c7127,1,credit_card,2,27.63
68d7420c86be23f313c81a554320f986,1,boleto,1,121.88
65c863d90026e9dd4888e28d2135c983,2,voucher,1,50.0
c79bdf061e22288609201ec60deb42fb,1,credit_card,1,12.22
11978d520d85578c9f024b99ac1a87ef,2,voucher,1,20.09
f86d7bc39aab05299691322044b63bb2,1,voucher,1,1302.42
1966886b80f14d0588adf6406afb0026,1,debit_card,1,68.89
dcec2b3be8c3d53056fe63381b2a6cfe,1,credit_card,10,159.18
90eaac01afdf4e531a70ad869e092c75,1,credit_card,1,234.43
808c4b75909ba91f23c1ef928f396822,1,credit_card,3,143.65
35bf7f86bc7add201e5b6573052157f0,1,credit_card,2,68.35
6b58f3523e45f9838f702acbc21e2f51,1,credit_card,1,44.23
bb2d7e3141540afc268df7ef6580fc75,1,credit_card,1,37.15
e6f98f32bf5e724269a5e9cb2529f2e3,1,credit_card,5,153.22
ad2e046d1a59ee49ddf9ae258360b81b,1,credit_card,5,135.13
dd691e4f12c592067339680ffc3dd443,1,credit_card,3,35.0
d0e9849de800fdb4cb3b5e6d42c6b367,1,boleto,1,85.79
