seller_id,seller_zip_code_prefix,seller_city,seller_state
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
bba3293d6f5d5af2f415e004e8b93ae3,04726,sao paulo,SP
b56906f7fd1696e043f1bcce164c487b,19830,echapora,SP
83353a83fd769dfafa4f21a72b15e3e5,05786,sao paulo,SP
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
b18dc380845b24038cfc48006478f099,09951,diadema,SP
6a8a889bde935bafa76d7848782dfaf9,02839,sao paulo,SP
c8e135e7b21ecbc36c1153a29d2f5a06,01411,sao paulo,SP
8b2492b7ff4468839593fafeed55bad9,24451,sao goncalo,RJ
10ff823eda2b032e2c93d17a7d294736,17280,pederneiras,SP
66d5ae34537110d3affc56174dad2b2f,15062,sao jose do rio preto,SP
dff87e4de60c9736ce8df835951b09bc,03172,sao paulo,SP
3d700782d7818f2c1e0d7a9e9d75fc00,86170,sertanopolis,SP
88af55b4a7ca402b27df16f7c7c9b5d2,06775,taboao da serra,SP
6cd68b3ed6d59aaa9fece558ad360c0a,31255,belo horizonte,MG
3df020b72d3d44b3af9d110fa3940b65,15704,jales,SP
c611f4ce9ce875bcc063fa97fd4d7d12,12944,atibaia,SP
6e386f64c84e482f0b9abf960797ee1b,01539,sao paulo,SP
289cdb325fb7e7f891c38608bf9e0962,31570,belo horizonte,SP
ef30892870c278497523264be1be2241,14801,araraquara,SP
376d67b61dce0c990155286e7ae486a4,04815,sao paulo,SP
49383af7ab774e4e8f3000f49c83dc4b,12080,taubate,SP
db4350fd57ae30082dec7acbaacc17f9,03126,sao paulo,SP
bfd27a966d91cfaafdb25d076585f0da,13930,serra negra,SP
ca3bd7cd9f149df75950150d010fe4a2,04361,sao paulo,SP
f680f85bee2d253556ac91be391d2c82,06365,carapicuiba,SP
7ea5bfa6c340f58f8e71fc1f0412b0d6,30180,belo horizonte,MG
d97df38225e5abadaff1e72cb72b823c,09560,sao caetano do sul,SP
bc2ac6b95e1accce9858528ee566c17e,13085,campinas,SP
4aba391bc3b88717ce08eb11e44937b2,45816,arraial d'ajuda (porto seguro),BA
cd68562d3f44870c08922d380acae552,14050,ribeirao preto,SP
042573af89b6d931f672efaf789d8358,18015,sorocaba,SP
33ac3e28642ab8bda860a2f693000e78,06717,cotia,SP
18a349e75d307f4b4cc646a691ed4216,01319,sao paulo,SP
7f35f9daf223da737b78738fbae4d977,13272,valinhos,SP
89dda63a3c907c468ec88c310ed91213,09380,maua/sao paulo,SP
4bc3d93e4a5f88a598d3d8ce4ae510b3,04564,sao paulo,SP
63b464dbf392c7b80d12d932fa7cafed,02034,sao paulo,SP
b335c59ab742f751a85db9c411a86739,38442,araguari,MG
d9e8c084b68fe958861d8f2c21202e6b,05528,sao paulo,SP
9596c870880d900012f2e8e6e30d06d7,37074,varginha,MG
70c27847eca8195c983ed7e798c56743,20930,rio de janeiro,RJ
8f580d36c1e9d6fbce95283403c7d447,14090,ribeirao preto,SP
6338ea67c41078a46ad99cc009654956,95170,farroupilha,RS
65febd49fd28ec955651299159b1f527,03275,sao paulo,SP
70849ca4f400aaabb62cb7462a6f1428,31210,belo horizonte,MG
b45d7ebfb7378630f1bcd74b6ff86ff7,30285,belo horizonte,MG
916c9de0b5ad957346eeeb12f332687e,80240,curitiba,PR
f0b47fbbc6dee9aafe415a6e33051b3f,09360,maua,SP
31344c16881c08a8a72c6d2eb29918c1,36500,uba,MG
d58d521f3789def2e7a22715e0badd93,03643,sao paulo,SP
7681ef142fd2c19048da7430856b5588,07074,guarulhos,SP
bb5d956dece964a06c12bceb66b923ae,20930,rio de janeiro,RJ
1d503743d2526f03f0c2c89540ee008c,01035,sao paulo,SP
